Date	SMI	SMI.Total.Return				
1996-08-30	3646.3	4373.5				
1996-09-30	3736.4	4481.5				
1996-10-31	3725.3	4468.2				
1996-11-29	3902.5	4684.7				
1996-12-31	3942.2	4732.4				
1997-01-31	4272.2	5128.5				
1997-02-28	4487.6	5387.9				
1997-03-31	4659.2	5593.8				
1997-04-30	4897.6	5911.6				
1997-05-30	5041.6	6092.2				
1997-06-30	5620.6	6825.4				
1997-07-31	5898.2	7167.9				
1997-08-29	5216.7	6339.7				
1997-09-30	5673.6	6895				
1997-10-31	5467.2	6644.1				
1997-11-28	5775.9	7019.2				
1997-12-31	6265.5	7614.2				
1998-01-30	6582.6	7999.6				
1998-02-27	7153.1	8692.9				
1998-03-31	7585.5	9218.4				
1998-04-30	7401.4	9048.4				
1998-05-29	7656.1	9366.8				
1998-06-30	7882	9688.7				
1998-07-31	8239.5	10135.9				
1998-08-31	6679.4	8216.7				
1998-09-30	5760.4	7086.2				
1998-10-30	6550.6	8058.3				
1998-11-30	7083.1	8713.4				
1998-12-31	7160.7	8808.8				
1999-01-29	7201.2	8858.6				
1999-02-26	7063.8	8689.7				
1999-03-31	7130.2	8771.3				
1999-04-30	7335.5	9085.3				
1999-05-31	6911.6	8562.2				
1999-06-30	6908.9	8606.8				
1999-07-30	6887.4	8587.7				
1999-08-31	7008.8	8739.1				
1999-09-30	6907.4	8612.7				
1999-10-29	7160.3	8928				
1999-11-30	7399.7	9226.5				
1999-12-31	7570.1	9439				
2000-01-31	6894.7	8596.9				
2000-02-29	6910.1	8616				
2000-03-31	7428.1	9271.8				
2000-04-28	7406.2	9298				
2000-05-31	7754	9776.3				
2000-06-30	7761.6	9813.3				
2000-07-31	8023.2	10152.1				
2000-08-31	8219.9	10401				
2000-09-29	7713.3	9759.9				
2000-10-31	7977.52	10115.6				
2000-11-30	7981.89	10121.2				
2000-12-29	8135.37	10315.8				
2001-01-31	8057.44	10217				
2001-02-28	7701.79	9766				
2001-03-30	7167.84	9124.3				
2001-04-30	7327.17	9358.9				
2001-05-31	7487.63	9586.6				
2001-06-29	7240.18	9280.7				
2001-07-31	6847.33	8777.1				
2001-08-31	6582.41	8437.5				
2001-09-28	6014.23	7709.2				
2001-10-31	6080.98	7796.7				
2001-11-30	6236.99	7996.7				
2001-12-31	6417.84	8228.6				
2002-01-31	6237.31	7997.1				
2002-02-28	6352.77	8145.2				
2002-03-29	6655.21	8560.3				
2002-04-30	6557.56	8473.2				
2002-05-31	6574.83	8518.3				
2002-06-28	5979.66	7747.7				
2002-07-31	5196.73	6756.6				
2002-08-30	5230.51	6824.1				
2002-09-30	4782.98	6242.1				
2002-10-31	4949.13	6459				
2002-11-29	5117.51	6678.7				
2002-12-31	4630.75	6043.5				
2003-01-31	4422.51	5771.7				
2003-02-28	4148.17	5413.7				
2003-03-31	4085.58	5359.3				
2003-04-30	4542.72	6030.4				
2003-05-30	4630.82	6159.9				
2003-06-30	4813.71	6404.7				
2003-07-31	5079.09	6759.4				
2003-08-29	5124.22	6819.4				
2003-09-30	5043.52	6714.8				
2003-10-31	5211.41	6938.3				
2003-11-28	5317.51	7079.6				
2003-12-31	5487.81	7306.3				
2004-01-30	5736.38	7637.2				
2004-02-27	5798.44	7747.6				
2004-03-31	5618.61	7507.9				
2004-04-30	5774.38	7796.4				
2004-05-31	5627.05	7606.4				
2004-06-30	5619.11	7596.6				
2004-07-30	5547.22	7506.7				
2004-08-31	5421.67	7336.8				
2004-09-30	5465.35	7399.5				
2004-10-29	5363.41	7261.5				
2004-11-30	5444.17	7370.8				
2004-12-31	5693.17	7707.9				
2005-01-31	5771.42	7813.9				
2005-02-28	5931.34	8030.4				
2005-03-31	5929.7	8074.35				
2005-04-29	5870.79	8070.09				
2005-05-31	6127.2	8455.99				
2005-06-30	6253.08	8631.66				
2005-07-29	6600.88	9117.98				
2005-08-31	6517.21	9002.41				
2005-09-30	6898.88	9534.26				
2005-10-31	7036.65	9724.66				
2005-11-30	7407.52	10237.2				
2005-12-30	7583.93	10481				
2006-01-31	7810.88	10794.64				
2006-02-28	7892.63	10907.62				
2006-03-31	8023.3	11146.91				
2006-04-28	8047.28	11274.3				
2006-05-31	7604.4	10688.85				
2006-06-30	7652.1	10758				
2006-07-31	7941.83	11176.36				
2006-08-31	8167.96	11496.2				
2006-09-29	8425.91	11865.19				
2006-10-31	8569.72	12067.7				
2006-11-30	8484.57	11947.79				
2006-12-29	8785.74	12371.88				
2007-01-31	9135.11	12863.87				
2007-02-28	8789.7	12377.47				
2007-03-30	8976.99	12713.24				
2007-04-30	9428.27	13494.51				
2007-05-31	9450.85	13575.49				
2007-06-29	9209.36	13229.29				
2007-07-31	8885.04	12765.83				
2007-08-31	8881.46	12763.49				
2007-09-28	8933.48	12844.91				
2007-10-31	9019.57	12968.69				
2007-11-30	8828.36	12693.76				
2007-12-31	8484.46	12199.29				
2008-01-31	7670.44	11028.86				
2008-02-29	7533.86	10880.61				
2008-03-31	7224.31	10473.93				
2008-04-30	7529	11078.86				
2008-05-30	7511.29	11098.95				
2008-06-30	6958.51	10282.84				
2008-07-31	7141.21	10574.17				
2008-08-29	7238.74	10718.58				
2008-09-30	6654.89	9861.52				
2008-10-31	6153.21	9118.1				
2008-11-28	5816.6	8619.3				
2008-12-31	5534.53	8201.32				
2009-01-30	5290.05	7839.04				
2009-02-27	4690.67	7015.68				
2009-03-31	4927.43	7417.06				
2009-04-30	5225.92	7970.92				
2009-05-29	5349.74	8166.6				
2009-06-30	5403.97	8249.4				
2009-07-31	5950.69	9100.53				
2009-08-31	6217.12	9508				
2009-09-30	6323.18	9672.21				
2009-10-30	6285.76	9614.98				
2009-11-30	6260.95	9577.03				
2009-12-31	6545.91	10012.92				
2010-01-29	6440.72	9852.01				
2010-02-26	6710.99	10265.43				
2010-03-31	6873.38	10639.45				
2010-04-30	6616.82	10362.17				
2010-05-31	6312.6	9921.46				
2010-06-30	6128.06	9631.41				
2010-07-30	6200.78	9761.13				
2010-08-31	6180.89	9729.82				
2010-09-30	6296.33	9913.85				
2010-10-29	6472.23	10190.81				
2010-11-30	6312.43	9939.21				
2010-12-31	6436.04	10133.84				
2011-01-31	6479.15	10201.72				
2011-02-28	6610.44	10479.34				
2011-03-31	6357.55	10141.27				
2011-04-29	6539.7	10586.12				
2011-05-31	6554.71	10657.97				
2011-06-30	6187.07	10062.16				
2011-07-29	5783.35	9405.58				
2011-08-31	5528.52	8994.11				
2011-09-30	5531.74	9002.57				
2011-10-31	5731.27	9327.28				
2011-11-30	5652.31	9202.13				
2011-12-30	5936.23	9664.36				
2012-01-31	5970.49	9720.14				
2012-02-29	6109.93	10028.74				
2012-03-30	6235.51	10307.67				
2012-04-30	6096.34	10253.74				
2012-05-31	5850.18	9862.96				
2012-06-29	6066.86	10228.26				
2012-07-31	6399.27	10788.69				
2012-08-31	6388.01	10769.7				
2012-09-28	6495.88	10955.53				
2012-10-31	6595.13	11122.92				
2012-11-30	6820.6	11503.19				
2012-12-31	6822.44	11506.28				
2013-01-31	7390.86	12464.94				
2013-02-28	7593.67	12894.19				
2013-03-29	7813.67	13347.7				
2013-04-30	7906.21	13715.38				
2013-05-31	7947.01	13799.45				
2013-06-28	7683.04	13341.09				
2013-07-31	7820.43	13579.65				
2013-08-30	7745.97	13452.91				
2013-09-30	8022.6	13940.77				
2013-10-31	8234.29	14308.62				
2013-11-29	8264.2	14363.21				
2013-12-31	8202.98	14256.81				
2014-01-31	8191.33	14236.57				
2014-02-28	8475.33	14827.3				
2014-03-31	8453.82	14879.84				
2014-04-30	8476.66	15097.45				
2014-05-30	8674.52	15530.54				
2014-06-30	8554.52	15315.7				
2014-07-31	8410.27	15057.43				
2014-08-29	8658.97	15506.14				
2014-09-30	8835.14	15832.36				
2014-10-31	8837.78	15837.08				
2014-11-28	9150.46	16401.17				
2014-12-31	8983.37	16101.67				
2015-01-30	8385.13	15029.4				
2015-02-27	9014.53	16161.31				
2015-03-31	9128.98	16564.57				
2015-04-30	9077.12	16677.28				
2015-05-29	9237.79	17038.95				
2015-06-30	8780.91	16199.6				
2015-07-31	9428.17	17399.76				
2015-08-31	8824.56	16286.54				
2015-09-30	8513.41	15724.51				
2015-10-30	8938.65	16509.94				
2015-11-30	8993.1	16610.52				
2015-12-31	8818.09	16287.27				
2016-01-29	8319.81	15366.92				
2016-02-29	7843.63	14593.51				
2016-03-31	7807.89	14624.22				
2016-04-29	7960.85	15131.64				
2016-05-31	8216.42	15691.46				
2016-06-30	8020.15	15316.63				
2016-07-29	8127.2	15544.99				
2016-08-31	8202.13	15688.31				
2016-09-30	8139.01	15581.35				
2016-10-31	7827.74	14985.45				
2016-11-30	7875.19	15076.3				
2016-12-30	8219.87	15736.15				
2017-01-31	8291.69	15873.64				
2017-02-28	8545.81	16360.13				
2017-03-31	8658.89	16836.84				
2017-04-28	8812.67	17332.41				
2017-05-31	9016.64	17811.11				
2017-06-30	8906.89	17594.31				
2017-07-31	9055	17889.51				
2017-08-31	8925.45	17633.57				
2017-09-29	9157.46	18109.26				
2017-10-31	9242.18	18276.79				
2017-11-30	9318.77	18428.25				
2017-12-29	9381.87	18553.04				
2018-01-29	9335.4	18461.14				
2018-02-28	8906.38	17612.73				
2018-03-30	8740.97	17524.46				
2018-04-30	8886.26	18074.71				
2018-05-31	8456.95	17284.65				
2018-06-29	8609.3	17596.02				
2018-07-31	9174.33	18750.86				
2018-08-31	8973.56	18340.52				
2018-09-28	9087.99	18593.96				
2018-10-31	9022.16	18459.28				
2018-11-30	9037.76	18491.19				
2018-12-31	8429.3	17246.27				
2019-01-31	8969.27	18351.06				
2019-02-28	9388.94	19209.69				
2019-03-29	9477.84	19621.28				
2019-04-30	9769.74	20481.59				
2019-05-31	9523.98	20114.9				
2019-06-28	9898.24	20905.36				
2019-07-31	9919.27	20949.77				
2019-08-30	9895.65	20899.88				
2019-09-30	10078.32	21309.31				
2019-10-31	10219.82	21608.49				
2019-11-29	10493.24	22186.61				
2019-12-31	10616.94	22448.16				
2020-01-31	10627.88	22471.29				
2020-02-28	9831.03	20786.44				
2020-03-31	9311.92	19985.39				
2020-04-30	9629.4	20951.89				
2020-05-29	9831.49	21467.7				
2020-06-30	10045.3	21934.57				
2020-07-31	10005.9	21852.33				
2020-08-31	10135.56	22135.5				
2020-09-30	10187	22260.39				
2020-10-30	9587.15	20949.62				
2020-11-30	10476.43	22920.67				
2020-12-31	10703.51	23424.72				
2021-01-29	10591.06					
2021-02-26	10522.22					
